step,tr_loss, tr_acc, val_loss, val_acc, time
1, 0.813262, 0.5000, 0.813262, 0.5000, 0.88
2, 0.813262, 0.5000, 0.813262, 0.5000, 0.76
3, 0.813262, 0.5000, 0.813262, 0.5000, 0.76
4, 0.813262, 0.5000, 0.813262, 0.5000, 0.72
5, 0.813262, 0.5000, 0.813262, 0.5000, 0.81
6, 0.813262, 0.5000, 0.813262, 0.5000, 0.78
7, 0.813262, 0.5000, 0.813262, 0.5000, 0.74
8, 0.813262, 0.5000, 0.813262, 0.5000, 0.84
9, 0.813262, 0.5000, 0.813262, 0.5000, 0.81
10, 0.813262, 0.5000, 0.813262, 0.5000, 0.83
11, 0.813262, 0.5000, 0.813262, 0.5000, 0.81
12, 0.813262, 0.5000, 0.813262, 0.5000, 0.82
13, 0.813262, 0.5000, 0.813262, 0.5000, 0.77
14, 0.813262, 0.5000, 0.813262, 0.5000, 0.86
15, 0.813262, 0.5000, 0.813262, 0.5000, 0.86
16, 0.813262, 0.5000, 0.813262, 0.5000, 0.84
17, 0.813262, 0.5000, 0.813262, 0.5000, 0.76
18, 0.813262, 0.5000, 0.813262, 0.5000, 0.81
19, 0.813262, 0.5000, 0.813262, 0.5000, 0.83
20, 0.813262, 0.5000, 0.813262, 0.5000, 0.77
